Serial,Names,Short Names,Price,24h Change,Volume
2990,Phoneum,PHT,$0.0000142,-0.01%,$212
2991,Gems,GEM,$0.00006225,-0.18%,"$18,426"
2992,Agrello,DLT,$0.0005307,+2.31%,N/A
2993,beFITTER,FIU,$0.0009103,+0.91%,"$58,055"
2994,Starter,START,$0.04588,+9.12%,$99
2995,Breezecoin,BRZE,$0.0002388,+2.31%,$3
2996,Noir,NOR,$0.002069,+1.02%,N/A
2997,Skyrim Finance,SKYRIM,$0.002102,+2.27%,"$18,989"
2998,LinkCoin Token,LKN,$0.000159,-0.64%,"$2,592"
2999,Scrypta,LYRA,$0.001711,+2.31%,N/A
3000,Gunstar Metaverse,GSTS,$0.001362,-1.21%,"$24,579"
3001,The Parallel,PRL,$0.001332,-0.03%,$19
3002,Fancy Games,FNC,$0.001049,+0.08%,N/A
3003,ROPE Token,ROPE,$0.006749,+1.34%,$36
3004,Umi Digital,UMI,$0.000001281,-0.95%,$6
3005,FUFU,FUFU,$0.0002553,+3.82%,$61
3006,Zebi Token,ZEBI,$0.00008392,+0.68%,$2
3007,Atlantis Loans,ATL,$0.03598,+0.00%,N/A
3008,SugarBounce,TIP,$0.002969,+0.04%,"$6,065"
3009,Verso,VSO,$0.0005248,+2.38%,"$16,912"
3010,Bitcashpay (new),BCP,$0.000728,+7.25%,$87
3011,Hawksight,HAWK,$0.0001973,+1.36%,$452
3012,Crypviser,CVNX,$0.00335,-21.22%,N/A
3013,SORA Validator Token,VAL,$0.1005,-9.53%,"$144,934"
3014,CatCoin,CATCOIN,$0.000000000002213,+9.13%,"$1,516"
3015,Public Index Network,PIN,$0.0002651,+0.00%,N/A
3016,Fracton Protocol,HIBAKC,$0.006658,+3.74%,"$125,625"
3017,Bunicorn,BUNI,$0.001428,+5.18%,"$1,403"
3018,Kyoko,KYOKO,$0.003871,-0.03%,N/A
3019,Friendz,FDZ,$0.00006758,+3.02%,"$47,590"
3020,HappyFans,HAPPY,$0.000001397,+5.82%,$2
3021,BOT,BOT,$0.000314,-10.29%,$137
3022,Pancake Bunny,BUNNY,$0.07621,+10.15%,"$20,103"
3023,SafeInsure,SINS,$0.001566,+4.07%,N/A
3024,Basis Share,BAS,$0.09391,-1.09%,"$16,468"
3025,Spaceswap MILK2,MILK2,$0.005234,+4.33%,$62
3026,CropperFinance,CRP,$0.00137,+1.52%,"$16,222"
3027,MilkshakeSwap,Milk,$0.03191,+0.89%,"$7,158"
3028,Berry Data,BRY,$0.0193,+3.58%,"$19,189"
3029,Ormeus Cash,OMC,$0.0001998,-0.04%,N/A
3030,Hertz Network,HTZ,$0.000007245,+10.76%,$9
3031,Rage Fan,RAGE,$0.0006714,+0.13%,"$12,287"
3032,Infinity Skies,ISKY,$0.002439,-0.82%,"$11,039"
3033,2crazyNFT,2CRZ,$0.0002457,-9.70%,"$1,403"
3034,MerchDAO,MRCH,$0.008175,-0.26%,"$23,691"
3035,AMATEN,AMA,$0.004889,+0.00%,N/A
3036,Beyondfi,BYN,$0.004161,+3.62%,"$602,658"
3037,FantomStarter,FS,$0.0003547,-1.20%,N/A
3038,Shera Token,SHR,$0.00000003199,+6.65%,$11
3039,FortKnoxster,FKX,$0.0002388,+2.31%,N/A
3040,Pera Finance,PERA,$0.0004958,+5.21%,"$12,803"
3041,Rublix,RBLX,$0.001722,+1.72%,$23
3042,GreenTrust,GNT,$0.00000000126,+2.16%,$506
3043,Rigel Protocol,RGP,$0.01964,+1.85%,$29
3044,ShoeFy,SHOE,$0.002709,-1.06%,"$5,818"
3045,Maxcoin,MAX,$0.002786,-23.27%,N/A
3046,FNB Protocol,FNB,$0.0000144,+0.00%,N/A
3047,TheForce Trade,FOC,$0.0004333,+4.03%,$77
3048,Vagabond,VGO,$0.001375,+5.78%,$19
3049,BOMB,BOMB,$0.05344,+34.53%,"$146,056"
3050,YoloCash,YLC,$0.001098,+35.75%,"$36,981"
3051,AVME,AVME,$0.006709,+4.43%,N/A
3052,CashCow,COW,$0.07016,+4.24%,N/A
3053,ETNA Network,ETNA,$0.002783,+4.31%,$3
3054,Avaxtars Token,AVXT,$0.0001215,+4.50%,$1
3055,Smartshare,SSP,$0.000006998,-0.01%,$59
3056,Nerian Network,NERIAN,$0.0019,-0.01%,$0.009997
3057,Po.et,POE,$0.00001327,+2.29%,N/A
3058,Battle Saga,BTL,$0.0008431,+0.55%,$623
3059,Blockburn,BURN,$0.00001689,+3.00%,N/A
3060,Wirtual,WIRTUAL,$0.005887,-0.60%,$27
3061,POLKARARE,PRARE,$0.00289,+0.77%,"$18,582"
3062,Bridge Network,BRDG,$0.0002846,-13.51%,"$3,402"
3063,Bata,BTA,$0.006448,+2.73%,$0.00211
3064,FOTA - Fight Of The Ages,FOTA,$0.00495,-1.83%,"$65,437"
3065,veDAO,WEVE,$0.00011,+0.16%,"$2,358"
3066,Citadel.one,XCT,$0.003589,+0.86%,$735
3067,KAKA NFT World,KAKA,$0.0005606,-4.31%,"$16,128"
3068,Centaurify,CENT,$0.0002848,+2.41%,$448
3069,Dough,DOUGH,$0.00007335,+0.81%,$30
3070,Jade Currency,JADE,$0.0005897,+4.97%,$382
3071,Cross-Chain Bridge Token,BRIDGE,$0.0005775,+4.24%,N/A
3072,Azuki,AZUKI,$0.002779,+2.45%,$7
3073,SolChicks Token,CHICKS,$0.00004857,+0.01%,$0.06004
3074,FC Sion Fan Token,SION,$0.001878,-14.46%,"$31,039"
3075,Arable Protocol,ACRE,$0.0001637,-8.10%,$428
3076,CREDIT,CREDIT,$0.00001253,-3.38%,$73
3077,POTENT,PTT,$0.0004297,+3.05%,$110
3078,Kawaii Islands,KWT,$0.001011,+3.11%,$612
3079,Mrweb Finance V2,AMA,$0.0009987,-2.69%,"$26,567"
3080,Privatix,PRIX,$0.0268,-7.72%,"$20,513"
3081,Nitro Network,NCash,$0.0000041,+17.47%,$362
3082,CryptoBonusMiles,CBM,$0.000005943,+2.31%,$14
3083,MMOCoin,MMO,$0.0004294,+21.14%,$49
3084,Dungeonswap,DND,$0.01082,+0.11%,$76
3085,GTON,GTON,$0.008131,+6.16%,$0.5278
3086,UniFarm,UFARM,$0.000761,+2.76%,$53
3087,Moonie NFT,MNY,$0.000007695,+27.31%,"$16,932"
3088,Play It Forward DAO,PIF,$0.0007998,-19.20%,"$61,534"
3089,Rentible,RNB,$0.0164,+1.72%,$37
3090,SOLA Token,SOLA,$0.001045,+0.00%,N/A
3091,Joe Hat Token,HAT,$191.30,+1.88%,N/A
3092,Knit Finance,KFT,$0.005678,-1.69%,"$28,167"
3093,MacaronSwap,MCRN,$0.03377,+3.76%,"$16,055"
3094,WorkQuest Token,WQT,$0.0004282,+4.02%,"$60,282"
3095,MatrixETF,MDF,$0.0006613,+0.31%,"$18,146"
3096,Türkiye Motosiklet Federasyonu Fan Token,TMFT,$0.0007522,+1.75%,"$9,851"
3097,LIQ Protocol,LIQ,$0.0009066,+4.14%,"$11,014"
3098,Anime Token,ANI,$0.00045,-5.43%,N/A
3099,Bitspawn,SPWN,$0.0000524,+1.55%,$36
3100,bePAY Finance,BECOIN,$0.002058,-45.48%,$0.008724
3101,Paybswap,PAYB,$0.0001729,+1.20%,$36
3102,Apricot Finance,APT,$0.0001609,+3.77%,$653
3103,Signature Chain,SIGN,$0.00003443,+0.00%,N/A
3104,Coinerr,ERR,$0.000002071,-26.46%,$4
3105,BitOrbit,BITORB,$0.00059,+3.05%,$0.01078
3106,SharedStake,SGT,$0.1734,-0.92%,$90
3107,NevaCoin,NEVA,$0.004775,-26.53%,$3
3108,AXPR,AXPR,$0.00008494,+48.81%,$0.003398
3109,VEKTOR,VEKTOR,$0.0000000626,-4.32%,$154
3110,Innova,INN,$0.003699,-0.01%,$3
3111,Ideaology,IDEA,$0.001569,+10.55%,"$252,827"
3112,TEMDAO,TEM,$0.000001105,+0.00%,"$66,803"
3113,Spaceswap SHAKE,SHAKE,$32.62,-11.19%,"$3,026"
3114,Pontoon,TOON,$0.00105,-0.02%,"$3,226"
3115,Gourmet Galaxy,GUM,$0.007497,-1.02%,"$12,955"
3116,Lovelace World,LACE,$0.0001193,+13.51%,$301
3117,POP Network Token,POP,$0.0000152,-0.01%,$11
3118,Rune,RUNE,$1.78,+1.22%,N/A
3119,SparkPoint Fuel,SFUEL,$0.0008422,+2.21%,$336
3120,Yellow Road,ROAD,$0.007728,+0.00%,N/A
3121,YENTEN,YTN,$0.0005571,+2.31%,N/A
3122,Fortress Lending,FTS,$0.003033,+5.87%,N/A
3123,GamyFi Platform,GFX,$0.02806,+0.00%,N/A
3124,Matrix Labs,MATRIX,$0.0006777,+16.16%,$97
3125,DecentralizedUnited,DCU,$0.00002026,+0.00%,N/A
3126,OneRing,RING,$0.003297,+2.46%,$237
3127,Smoothy,SMTY,$0.004349,+0.04%,"$57,772"
3128,Timechain Swap Token,TCS,$0.006168,+0.51%,N/A
3129,Flurry Finance,FLURRY,$0.00002703,-1.06%,"$14,632"
3130,AOK,AOK,$0.000119,+0.04%,"$101,275"
3131,DefiDollar DAO,DFD,$0.0009998,-16.67%,"$22,140"
3132,BetU,BETU,$0.0002011,+5.31%,$0.7528
3133,Goose Finance,EGG,$0.01216,-1.93%,"$13,687"
3134,MicroMoney,AMM,$0.001269,-25.99%,"$76,748"
3135,TaleCraft,CRAFT,$0.003045,+4.71%,"$13,782"
3136,Metafluence,METO,$0.0004908,-4.18%,"$105,024"
3137,extraDNA,XDNA,$0.0000177,-25.01%,$11
3138,Neutron,NTRN,$0.0005306,+2.31%,N/A
3139,AnRKey X,$ANRX,$0.0001026,+0.00%,N/A
3140,KingDeFi,KRW,$0.000001672,-16.39%,$136
3141,CoinAlpha,ALP,$0.0001516,+1.23%,$3
3142,APIX,APIX,$0.00015,+0.00%,N/A
3143,Degis,DEG,$0.003166,-2.11%,"$60,688"
3144,Chain Wars,CWE,$0.0004258,+0.00%,N/A
3145,Bontecoin,BONTE,$0.000008998,+144.24%,N/A
3146,YDragon,YDR,$0.00015,+0.00%,N/A
3147,Tokenbox,TBX,$0.001693,+1.72%,$11
3148,Gem Exchange and Trading,GXT,$0.0002238,+2.74%,$480
3149,Big Crypto Game,CRYPTO,$0.00439,+0.00%,N/A
3150,HeroFi,HEROEGG,$0.0002117,+0.00%,N/A
3151,BitCash,BITC,$0.0008224,+2.31%,N/A
3152,ZoomSwap,ZM,$0.001546,+1.97%,$100
3153,Olive Cash,OLIVE,$0.0006706,+5.28%,$13
3154,ClassicDoge,XDOGE,$0.000001154,+10.14%,"$6,451"
3155,Krypton Galaxy Coin,KGC,$0.00001949,-2.54%,"$12,719"
3156,Kuverit,KUV,$0.000006538,-0.01%,$3
3157,Bitcoin Confidential,BC,$0.000002287,-27.12%,N/A
3158,Moonfarm Finance,MFO,$0.002531,-1.85%,$205
3159,Burrow,BRRR,$0.0002641,-99.98%,N/A
3160,EchoLink,EKO,$0.00003379,+2.98%,N/A
3161,hiSEALS,HISEALS,$0.0005489,-4.70%,"$75,104"
3162,Indexed Finance,NDX,$0.01925,-4.09%,$73
3163,TajCoin,TAJ,$0.0005307,+2.31%,N/A
3164,Atlas DEX,ATS,$0.001539,+11.63%,"$13,424"
3165,Castweet,CTT,$0.009055,+1.34%,$11
3166,MEDIA EYE NFT Portal,eYe,$0.0001739,+4.24%,N/A
3167,MetaGods,MGOD,$0.00112,-0.05%,$8
3168,Transcodium,TNS,$0.000202,+1.72%,$35
3169,BASIC,BASIC,$0.000002,+0.00%,N/A
3170,Landbox,LAND,$0.0002009,-0.01%,$3
3171,Ormeus Coin,ORMEUS,$0.0008988,-0.00%,N/A
3172,Bitcoin Classic,BXC,$0.02547,+2.31%,N/A
3173,Alpha Token,A,$0.0004342,+2.58%,N/A
3174,Singularity,SGLY,$0.0002523,+0.00%,N/A
3175,Metaverse Miner,META,$0.007913,+4.48%,$58
3176,SolChicks Shards,SHARDS,$0.0002483,-0.11%,$7
3177,OtterClam Finance,CLAM,$0.1153,+0.00%,N/A
3178,Treasure Under Sea,TUS,$0.000005374,+4.47%,$2
3179,Rapids,RPD,$0.001372,+11.45%,$1
3180,UNICORN Token,UNI,$0.0001326,+2.31%,$4
3181,Alphr finance,ALPHR,$0.008056,+0.77%,"$17,317"
3182,BoutsPro,BOUTS,$0.0001815,+2.79%,N/A
3183,Twinci,TWIN,$0.06816,-0.01%,N/A
3184,Golden Goose,GOLD,$0.00008198,-0.01%,N/A
3185,NFTmall,GEM,$0.001614,+2.34%,$129
3186,PYRO Network,PYRO,$0.00001689,+3.00%,N/A
3187,Ccore,CCO,$0.007772,-5.45%,$111
3188,Synthetify,SNY,$0.002332,-3.83%,"$13,360"
3189,Lithosphere,LITHO,$0.0002148,+23.29%,"$319,842"
3190,Innovative Bioresearch Coin,INNBC,$0.000000009997,-0.01%,N/A
3191,BitSend,BSD,$0.0003714,+2.31%,N/A
3192,APEmove,APE,$0.006097,-99.91%,$18
3193,Babacoin,BBC,$0.00001202,+0.07%,$309
3194,Obsidium,OBS,$0.001838,-0.13%,N/A
3195,Ormeus Ecosystem,ECO,$0.000005114,-47.43%,$450
3196,HyperAlloy,ALLOY,$0.003207,+4.54%,N/A
3197,AFEN Blockchain,AFEN,$0.00007517,+5.88%,$24
3198,GeyserCoin,GSR,$0.006368,+2.31%,N/A
3199,Boo Finance,BOOFI,$0.001079,+4.43%,N/A
3200,PAW,PAW,$0.00000005999,-0.01%,$40
3201,Darkness Share,NESS,$0.0001167,-1.98%,N/A
3202,Shibalana,SHIBA,$0.000003937,-0.18%,$0.7475
3203,PrivaCoin,PRVC,$0.0008133,-0.14%,"$3,592"
3204,Unique One,RARE,$0.004956,-6.08%,N/A
3205,RunNode,RUN,$0.0000691,-0.82%,$77
3206,1MillionNFTs,1MIL,$0.08395,-1.21%,"$16,298"
3207,Islander,ISA,$0.00001848,+3.08%,$57
3208,AdaSwap,ASW,$0.0000135,-8.13%,"$6,446"
3209,AllSafe,ASAFE,$0.0007695,+2.31%,N/A
3210,Scholarship Coin,SCHO,$0.0006998,-17.66%,N/A
3211,Kemacoin,KEMA,$0.0003979,-4.08%,$0.00002528
3212,Carecoin,CARE,$0.000004956,-1.99%,"$632,703"
3213,Donu,DONU,$0.001857,+2.31%,N/A
3214,CorionX,CORX,$0.00007152,-55.29%,$293
3215,ROCKI,ROCKI,$0.001165,+41.43%,"$173,190"
3216,BunnyPark Game,BG,$0.000009041,+1.29%,$20
3217,MIB Coin,MIB,$0.000121,-0.01%,$12
3218,SPINDLE,SPD,$0.000003241,+1.72%,$181
3219,Kitty Coin Solana,KITTY,$0.00002057,-4.57%,$39
3220,Gossip Coin,GOSS,$0.0002653,+2.31%,N/A
3221,Feellike,FLL,$0.004759,-0.01%,N/A
3222,OOGI,OOGI,$0.0000008937,-15.48%,"$1,874"
3223,MetaFame,BMF,$0.00009596,+5.03%,$80
3224,Axe,AXE,$0.001592,+2.31%,$10
3225,Niftify,NIFT,$0.0007198,+2.89%,"$2,196"
3226,Echidna,ECD,$0.0007173,-5.10%,N/A
3227,KIWIGO,KGO,$0.0001849,+7.11%,$23
3228,Wolf Safe Poor People (Polygon),WSPP,$0.000002448,+7.40%,"$25,887"
3229,Acoin,ACOIN,$0.006367,+2.31%,N/A
3230,ModiHost,AIM,$0.006202,+2.31%,N/A
3231,Furio,$FUR,$0.03484,-1.44%,"$17,822"
3232,Streamit Coin,STREAM,$0.0005306,+2.31%,N/A
3233,Bomb Money,BOMB,$0.003056,-8.36%,$724
3234,HakuSwap,HAKU,$0.0001633,+1.88%,N/A
3235,BonFi,BNF,$0.00002209,-0.01%,$26
3236,Operon Origins,ORO,$0.0008131,+7.02%,"$13,869"
3237,SCROOGE,SCROOGE,$0.00000000001742,+4.24%,N/A
3238,Crystl Finance,CRYSTL,$0.0005051,+3.16%,N/A
3239,Gaj Finance,GAJ,$0.003261,+1.85%,$13
3240,Merebel,MERI,$0.0003184,+2.31%,N/A
3241,Zuki Moba,ZUKI,$0.0001653,+5.75%,$7
3242,Cockapoo,CPOO,$0.0000004544,+1.07%,N/A
3243,Rewardiqa,REW,$0.0005912,+3.00%,N/A
3244,Martkist,MARTK,$0.0003449,+2.31%,N/A
3245,DELOT.IO,DELOT,$0.00006477,-8.98%,$366
3246,Defrost Finance,MELT,$0.0003657,-1.34%,$0.5403
3247,Porta,KIAN,$0.000175,+16.66%,"$19,231"
3248,Ancient Kingdom,DOM,$0.000003658,+5.46%,$5
3249,Moniwar,MOWA,$0.0004925,+2.93%,$66
3250,Gunstar Metaverse Currency,GSC,$0.0008765,-0.04%,$21
3251,Step Hero,HERO,$0.0004337,+6.91%,"$16,406"
3252,FUZE Token,FUZE,$6.93,+2.70%,"$32,500"
3253,Samurai Legends,SMG,$0.00002595,+22.28%,$843
3254,LCMS,LCMS,$0.0002999,+0.00%,N/A
3255,Luna Rush,LUS,$0.0009887,+8.25%,"$10,344"
3256,BSClaunch,BSL,$0.00218,+4.55%,$684
3257,Barter,BRTR,$0.004438,-20.43%,$235
3258,Waggle Network,WAG,$0.0005698,-12.04%,"$6,740"
3259,dexIRA,DEX,$0.000008958,+3.35%,$5
3260,Warena,RENA,$0.0005888,+9.72%,"$12,697"
3261,SF Capital,SFCP,$0.00005307,+2.31%,$0.008361
3262,Knight War - The Holy Trio,KWS,$0.000123,-3.87%,"$10,099"
3263,U Network,UUU,$0.0000005309,+104.62%,$0.6919
3264,SolanaSail Governance Token,GSAIL,$0.0009997,-0.01%,N/A
3265,Cry Coin,CRYY,$0.0000006208,-0.01%,N/A
3266,Kalkulus,KLKS,$0.0001703,-0.25%,$11
3267,CRDT,CRDT,$0.0003716,+3.00%,N/A
3268,Elementeum,ELET,$0.0006097,+1.72%,$23
3269,Pyrk,PYRK,$0.0001993,+3.00%,N/A
3270,Kwikswap Protocol,KWIK,$0.0003258,+3.02%,N/A
3271,Guider,GDR,$0.0000109,+1.11%,$28
3272,Fire Protocol,FIRE,$0.0005525,+3.22%,"$19,048"
3273,PalGold,PALG,$0.0001104,-3.13%,$2
3274,IQ.cash,IQ,$0.0002256,+2.59%,N/A
3275,Kcash,KCASH,$0.000005998,-0.01%,N/A
3276,Grimm,GRIMM,$0.00004245,+2.31%,$8
3277,UkraineDAO Flag NFT,LOVE,$0.00105,-1.88%,"$85,048"
3278,Xion Finance,XGT,$0.0002388,-6.73%,$56
3279,Solabrador,SOLAB,$0.000002494,+24.71%,$0.002521
3280,NestEGG Coin,EGG,$0.00005306,+2.31%,$0.3008
3281,Streamity,STM,$0.00006198,+0.04%,N/A
3282,Solidex,SEX,$0.0003707,+4.87%,$0.5207
3283,FinNexus,FNX,$0.00005471,-8.58%,$0.001141
3284,Mate,MATE,$0.0006799,-1.73%,$85
3285,dexSHARE,DEXSHARE,$0.09223,-16.58%,$204
3286,Finance Blocks,FBX,$0.0002009,-6.46%,"$815,118"
3287,Defis,XGM,$0.00001326,+2.31%,$13
3288,Ancient Raid,RAID,$0.00002749,+0.00%,N/A
3289,DOEX,DOEX,$0.00003577,+0.27%,$4
3290,UncleMine,UM,$0.0001138,-1.52%,$18
3291,Rigel Finance,RIGEL,$0.3199,+0.00%,N/A
3292,World of Defish,WOD,$0.00009129,-1.61%,$69
3293,ECOSC,ECU,$0.00149,+197.97%,$22
3294,Connectome,CNTM,$0.001049,+13.91%,"$37,020"
3295,Axia Protocol,AXIA,$0.001999,-41.20%,$44
3296,DragonVein,DVC,$0.000002,+0.00%,N/A
3297,Zent Cash,ZTC,$0.0000002653,+2.31%,N/A
3298,LiteCoin Ultra,LTCU,$0.001592,-38.61%,$14
3299,Mesefa,SEFA,$0.002469,-0.01%,$6
3300,Sombra Network,SMBR,$0.00002009,-29.68%,$10
3301,Blockster,BXR,$0.0001014,+2.96%,$445
3302,SafeCapital,SCAP,$0.0005041,-87.85%,$0.01464
3303,Crystal Token,CYL,$0.001605,+0.88%,"$149,397"
3304,FLOOF,FLOOF,$0.0000000466,-0.27%,$0.4304
3305,Sucrecoin,XSR,$0.00005307,+2.31%,N/A
3306,Cubiex Power,CBIX-P,$0.004335,+0.00%,N/A
3307,ZCore,ZCR,$0.00005612,+32.54%,$81
3308,ASKO,ASKO,$0.000004983,+1.28%,$35
3309,KZ Cash,KZC,$0.0003979,+2.31%,$0.3846
3310,Diligence,IRA,$0.00002653,+2.31%,N/A
3311,Electrum Dark,ELD,$0.0001351,+3.00%,N/A
3312,PIAS,PIAS,$0.00001193,+13.09%,"$11,842"
3313,Secure Cash,SCSX,$0.00398,-23.27%,N/A
3314,PREMA,PRMX,$0.00000157,-1.07%,"$7,904"
3315,Storeum,STO,$0.000001351,+3.00%,N/A
3316,PanicSwap,PANIC,$0.0002718,+0.58%,$0.0002005
3317,S.Finance,SFG,$0.002912,+17.31%,"$14,423"
3318,YODESWAP,YODE,$0.005547,-8.87%,$420
3319,WorldCoin,WDC,$0.0109,+19.76%,"$1,232"
3320,Waterfall DeFi,WTF,$0.00004315,-0.41%,N/A
3321,Aeron,ARNX,$0.000002653,-8.64%,$0.5446
3322,SIBCoin,SIB,$0.09022,+2.31%,N/A
3323,BitGuild PLAT,PLAT,$0.0000003199,-0.01%,N/A
3324,CryptoPlanes,CPAN,$0.0000004695,+19.67%,$49
3325,HaloDAO,RNBW,$0.00000003589,+19.30%,$0.5245
3326,Mainstream For The Underground,MFTU,$0.00000000008149,-85.63%,$39
3327,Kitty Solana,KITTY,$0.00000000001868,+0.00%,N/A
3328,YFFII Finance,YFFII,$0.00000000001091,-19.81%,$27
3329,#MetaHash,MHC,$0.001066,+0.00%,N/A
3330,$AAPL,$AAPL,$0.1768,+0.00%,N/A
3331,$BABY PEPE COIN,BABY PEPE,$0.00000000000389,+2.31%,N/A
3332,$CatGPT,CATGPT,$0.0000000545,+0.00%,N/A
3333,$CROOGE,$CROOGE,$0.000002263,+0.00%,N/A
3334,$FiPi,FIPI,$0.005733,+9.09%,N/A
3335,$HULK,$HULK,$0.00002251,+0.00%,N/A
3336,$LAMBO,LAMBO,$0.000002204,+7.93%,"$18,177"
3337,$LONDON,LONDON,$0.007071,+0.00%,N/A
3338,$OFC Coin,OFC,$1.42,+0.00%,N/A
3339,$USDEBT,USDEBT,$0.0000000351,-4.23%,"$5,793"
3340,$X,X,$0.00000000003286,-9.58%,$104
3341,(WhaleStreet),WHALE$,$0.0000001516,+0.00%,N/A
3342,.Alpha,.ALPHA,$21.40,+0.00%,N/A
3343,01coin,ZOC,$0.0002653,+2.31%,N/A
3344,0cash,ZCH,$0.01959,+0.00%,N/A
3345,0x0.com,0x0COM,$0.3008,+0.00%,N/A
3346,0x1.tools: AI Multi-tool Plaform,0X1,$0.03886,-25.04%,"$38,989"
3347,0x_nodes,BIOS,$0.04872,+0.00%,N/A
3348,0xACID,ACID,$51.50,+2.19%,"$3,863"
3349,0xAlgo,0XA,$0.0000165,+0.00%,N/A
3350,0xApe,0XA,$0.000009862,+0.00%,N/A
3351,0xAuto Deployer Bot,0XA,$0.00009408,+0.00%,N/A
3352,0xBlockChain,0XC,$0.001529,+0.00%,N/A
3353,0xBurn,0XB,$0.00000000006249,+0.00%,N/A
3354,0xcert,ZXC,$0.0001845,+0.00%,N/A
3355,0xCoco,COCO,$0.03733,+25.21%,"$275,695"
3356,0xDAO,OXD,$0.00007044,+5.55%,$0.1206
3357,0xDAO V2,OXD V2,$0.00588,+0.00%,N/A
3358,0xDefi,0XDEFI,$0.008693,+0.00%,N/A
3359,0xGame (Sentient),$0XG,$0.000005496,+0.00%,N/A
3360,0xGasless,0XGAS,$0.01301,+8.39%,"$29,600"
3361,0xMeme,0XM,$0.00003022,+0.00%,N/A
3362,0xMonero,0xMR,$0.31,+0.00%,N/A
3363,0xPAD,0XPAD,$0.005651,+0.00%,N/A
3364,0xPEPE.eth,XPEPE,$0.00000001286,+0.00%,N/A
3365,0xS,$0XS,$0.07402,+56.25%,"$248,021"
3366,0xShield,SHIELD,$0.01306,+0.00%,N/A
3367,0xSniper,OXSNIPER,$0.00009424,+5.30%,"$4,746"
3368,0XTALK,0XT,$0.0000006749,+0.00%,N/A
3369,0xTools,0XT,$0.00004637,+0.00%,N/A
3370,0xTracker,0XT,$0.0005866,+0.00%,N/A
3371,0xTrade,0XT,$0.0002482,+0.00%,N/A
3372,0xTsunami,0XT,$0.00007028,+0.00%,N/A
3373,0xWallet Token,0XW,$0.007091,+0.00%,N/A
3374,0xWhale,WHALE,$0.002882,+0.00%,N/A
3375,0xzx Token,0XZX,$0.001406,+0.00%,N/A
3376,1-UP Platform,1-UP,$0.01814,+0.00%,N/A
3377,100 Days Ventures,ASTRO,$0.03589,+0.00%,N/A
3378,100xgems,100XGEMS,$0.0002597,-13.99%,"$4,833"
3379,10mb,10MB,$0.008258,+0.00%,N/A
3380,10SHARE,10SHARE,$0.0000001158,+0.00%,N/A
3381,12Ships,TSHP,$0.00004001,+0.46%,"$9,971"
3382,1337 LEET,LEET,$0.000000000004218,+0.00%,N/A
3383,1BOX,1BOX,$0.004275,+0.00%,N/A
3384,1COIN,1COIN,$0.0000000000094,+0.00%,N/A
3385,1Doge,1DOGE,$0.0001551,+0.00%,N/A
3386,1eco,1ECO,$0.111,-6.30%,$608
3387,1ETH,1ETH,$0.00003786,+0.00%,N/A
3388,1INCHDOWN,1INCHDOWN,$0.008037,+0.00%,"$739,752"
3389,1INCHUP,1INCHUP,$0.06976,+0.00%,N/A
3390,1irstGold,1GOLD,$63.67,+1.16%,N/A
3391,1Million Token,1MT,$0.6751,+0.00%,N/A
3392,1minBET,1MB,$0.0001291,+0.00%,N/A
3393,1Move,1MT,$0.03543,+13.07%,"$7,035"
3394,1NFT,1NFT,$0.000000000008804,+7.30%,$5
3395,1peco,1PECO,$0.1664,-7.72%,$206
3396,1SAFU,SAFU,$0.0000000008029,+0.00%,N/A
3397,1Shoot Game,1SH,$0.007121,+0.00%,N/A
3398,1Sol,1SOL,$0.001805,+1.50%,"$2,998"
3399,1Swap,1SWAP,$0.00001221,+0.00%,N/A
3400,1TRONIC Network,1TRC,$22.12,+0.00%,N/A
3401,1World,1WO,$0.112,+0.00%,N/A
3402,1x Long Bitcoin Implied Volatility Token,BVOL,$67.99,+0.00%,N/A
3403,1x Short Bitcoin Token,HEDGE,$1.00,+0.00%,N/A
3404,1X Short BNB Token,BNBHEDGE,$0.8633,+0.00%,N/A
3405,1X Short Dogecoin Token,DOGEHEDGE,$21.87,+0.00%,N/A
3406,1X Short Ethereum Token,ETHHEDGE,$0.618,+0.00%,N/A
3407,1X Short XRP Token,XRPHEDGE,$27.01,+0.00%,N/A
3408,1X2 COIN,1X2,$76.77,+0.00%,N/A
3409,2.0,2.0,$0.00000849,+0.00%,N/A
3410,2.0 Pepe,2.0PEPE,$0.00000000004267,+0.00%,N/A
3411,2022MOON,2022M,$22.74,+0.00%,N/A
3412,2023 MOON,2023MOON,$0.00000001087,+0.00%,N/A
3413,2044 Nuclear Apocalypse,2044,$0.01821,+0.00%,N/A
3414,28VCK,VCK,$0.0009793,-56.31%,$100
3415,2BUTTONS BSC,2BUTTONS,$0.00000000004397,+0.00%,N/A
3416,2DAI.io,2DAI,$0.001647,+17.44%,"$20,742"
3417,2G CARBON COIN,2GCC,$0.05015,+0.37%,"$217,221"
3418,2gather,TWO,$1.08,+0.00%,N/A
3419,2GIVE,2GIVE,$0.0002653,+2.31%,N/A
3420,2local,2LC,$0.0000005268,+0.00%,N/A
3421,2omb Finance,2OMB,$0.00743,+4.75%,$11
3422,2SHARE,2SHARES,$1.61,+2.72%,N/A
3423,3 Kingdoms Multiverse,3KM,$0.007938,-9.19%,"$25,644"
3424,300FIT NETWORK,FIT,$0.0004097,+5.67%,"$152,962"
3425,37Protocol,37C,$0.7772,+0.00%,N/A
3426,3air,3AIR,$0.00202,+20.25%,"$2,269"
